year,oxygen_used,attempts,success_y
1981,0,1,0
1981,1,2,1
1982,0,1,0
1983,1,1,1
1984,0,1,0
1985,0,2,0
1986,0,2,2
1986,1,1,1
1987,0,3,0
1988,0,2,1
1988,1,2,2
1989,0,5,1
1989,1,1,1
1990,0,2,1
1990,1,2,2
1991,0,2,0
1993,1,1,1
1994,0,4,4
1994,1,1,1
1995,0,3,2
1995,1,1,1
1996,0,3,2
1997,0,3,2
1997,1,6,6
1998,0,4,2
1998,1,1,1
1999,0,3,2
1999,1,1,1
2000,0,4,2
2000,1,5,5
2001,0,4,2
2001,1,7,6
2002,0,2,1
2002,1,6,6
2003,0,4,1
2003,1,9,7
2004,0,5,4
2004,1,2,2
2005,0,2,1
2005,1,2,0
2006,0,8,2
2006,1,10,5
2007,0,3,3
2007,1,7,5
2008,0,12,5
2008,1,13,12
2009,0,8,4
2009,1,5,5
2010,0,12,3
2010,1,8,6
2011,0,5,4
2011,1,11,10
2012,0,11,3
2012,1,20,18
2013,0,11,7
2013,1,20,16
2014,0,6,0
2014,1,1,0
2015,0,12,0
2016,0,5,0
2016,1,8,0
2017,0,3,2
2017,1,15,13
2018,0,3,1
2018,1,19,19
2019,0,3,0
2019,1,17,17
